en,bho
I should not have believed that monkey's story.,हमके बनरन के कहानी पर भरोसा नाई करेक चाही।
She doesn't love you.,हम तुहसे प्यार
Those are rules.,ऊ सब नियम हव।
I'm going to the mountains.,हम पहाड़ पर जा रहल हई।
Even I did not know what I was speaking but I understood that I have started loving you.,हम खुदे ना जान पइली कि मो का कहत हई लेकिन हम वुझत रहली की हम तोहसे प्यार करे लगली ।
They will come with me.,उ हमरे साथा आई ।
The child found the puppy.,बच्चा पिल्ला पइले।
You see there's plenty of room to hide a bicycle.,देखा केतनी जगह हव सइकील छिपावअ खातिर।
How much is the balcony ticket of this hall ?,ई सिनेमा हाल के बालकनी के टिकट के का दाम बा?
Acetaminophen can be used safely by most people .,ज्यादा लोगन द्वारा असिटेमिनोफेन प्रयोग होला।
You arrived late.,तु देर से पहुँचला।
"Which boy read which book, he wrote an essay on it.","कवन लईका जवन किताब पढलस, उ ओकरा पर एगो निबन्ध लिखलस ।"
Tell her off,बोलत काहें ना।
You shouldn’t believe everything that you read in the newspaper.,तोहके सब कुछ नाई विश्वास करे के चाहि जवन तु अखबार मे पढले हउअ।
"Established by engineers from prestigious institute, I.I.T.Delhi.",मशहूर संस्थान आईआईटी दिल्ली क इंजीनियर लोग स्थापित कइले रहल।
The bank is closed today.,आज बैंक बन्द बा ।
The Merchant of salt speaks to me well of you.,नमक क बेपारी तोहार काफी तरीफ कइले रहल।
I'm sure he'll be grateful.,हमके यकीन हव की ऊ अभारी रहि हँ.
Do you have bread ?,का तोहरे लगे रोटी बा ?
"Can you change this gift , please?",का तु किरपा कइके इ उपहार बदल सकलअ ?
Does she win everytime?,का उ हर समय जितत हउए ?
Then you're in luck.,त फिनू भाग तुहरे संहे हव।
"I mean, does this really have to be... one of those big brother, little brother... you broke my G.I. Joe and I'm still pissed games?","हमार मतलब हव ये वास्तव में हो सकत हव....उन बड़े भाई, छोटा भाई के रूप में...आप हमार जीआई तोडल जवन अउर हम अबहिन भी नाराज खेल रहल हई।"
"Well, if it's arson, somebody figured a new way to hide it.","ई आगजनी हव अगर खयर, केहू एके छिपावअ खातिन एगो नया तरीका सोचलअ।"
You took the words right from my mouth.,तु हमरे मुह से सही शब्द ले गइल।
Nothing.,का हव? कुछ ना
You will get punished for this act.,तु एक काम खातिर दंडित करल जाई।
"I am very delighted to meet Prem today,now you also must send Rajesh Babu here.",आज प्रेम से मिलके बडा खुशी भईल एक बार राजेश बापू के भी इहवा भेज देई ।
Where is he?,ऊ कहवाँ हव?
Smiley's Oriental cure-all.,इसमाइली क सभी ओरिएन्टल इलाज।
"You wouldn't have to change for me, Bella.",हमरे खातिन इ बेला खातिन कयल रहल बदल जाई ना हव
What films do you like?,कवन फिलम पसन्द कइले हउअ ?
But this is a specialty item.,लेकिन एगो बिसेख समान हव।
Ram was eating an apple.,राम सेब खाऽत रहऽल।
I am peeling off oranges.,हम संतरा क गूदा निकारत हईं।
Erik says that he wants to sail there first.,एरिक कहत हव समुंदर उहाँ बहुत परचड़ हव।
I could not find it anywhere.,हमके इ कहूं नाई मिलऽल।
I thought you should know about it.,हमरे ख्याल से तोहके एके बारे में जानेऽक चाही।
Never stop me from holding your hand...,आपन हाथ पकड़े से हमके कबों ना रोकु।
Something else I want to show you.,हाँ कुछ अउर हम आपके देखावल चाहत हईं।
"Here is your book, take it away.","तोहार किताब इहाँ हव, ले जा इहाँ से।"
The bicycle is a new one.,साइकिल नया ब।
Did you find anything?,तुहके कुछ मिलल?
You might as well stay for the night.,बेहतर होई की तू रात यहीं रहा।
The light showed me the path of hope...,आसा के रस्ते पर हम परकास देखायल....
The mood here is resolutely up.,इहां मूड सख्ती से ऊपर बा।
The dog is happy,कुत्ता खुश ह ।
"Am I to lose it, lose it after one day?","का हमऐक खो देइब, एक दिन के बाद खो देइब?"
We got 60 boxes of dried milk...,सूखल दूध क 60 बक्सा...
Get him away from me!,ओके हमसे दूर रक्खा!
I had never thought that someday I will say this to anybody.,हम त कवो इ ना सोचले रहली की कवो केहुसे ऎ कहब ।
Mary is going to shut the door.,मैरी दरवाजा बंद करे जातिऽअ।
I wrote that I would visit him next day.,हम लिख देहलीं कि हम अगली बार उहां जाइऽब।
I thought you knew the sword.,हमके तोहरे तलवार क पता रहल।
I cannot afford to be late.,हमके देरी बर्दाश्त नाई हऽ।
"What's the use of my complaint, then?",त हमरे सिकाइत क फयदा का हव?
Laban. Laban.,सोचो की भूल रहल हई।
It used to shine in the darkness.,इ अन्धेरा में चमकत रहेला ।
I can't wait forever,हम हमेंसा के खातिन इंतजार ना कइ सकत हईं
Industry is the key to success.,उद्योग सफलता क कुंजी हवें।
Will you come with me?,का तु हमरे साथ अइब ?
I have been living here since 1998.,हम इहां 1998 से रहत हईं।
but her father is a big hurdle.,लेकिन ओकर बाप बहुत बड़ा रोड़ा हव।
"We were waiting for Rajesh babu ` s arrival, we will leave now.",राजेश बाबू के आइला कईन्तजार रहे बस अव जईहअ
Sri Krishna was born in Mathura.,श्रीकृष्ण मथुरा में पैदा भइल रहऽल।
I was going there.,हम जात रहलीं।
It was an accident.,"ना, इ एक दुर्घटना रहल"
I haven't received an omen.,अइसन बदसगुन अवहिन तका नाहीं पड़ल हव।
I forgot to give the birthday wishes.,हम ओके जन्मदिन कहब भुला गइ ल।
What is your father’s name?,तोहरे बाऊ क नाम का हव?
Crying shame.,श्रोअले क बात हव।
The boy played when he was at the park.,जब उ पार्क रहल तब लइका खेलल ।
It was hot.,बहुते गरम रहे।
Is that the way a gentleman should behave ?,का ई कवनो सज्जन आदमी के व्यवहार कईला के तरीका हवे?
We are the future. Anything is possible If you just believe. - Nice.,"कुछहू सम्भव हव, अगर तू ठीक अगला"
Macbeth hoped to succeed Duncan.,मैकबर्थ के उम्मीद हऽ कि डंकन सफल होई।
I am going to my native!,हम अपने घरे जात हईं।
Lasse sews my clothes.,लेसे हमरे कपड़ा क मरम्मत कइ देता हव।
"All that you love, you'll destroy.",तोहसे पिआर करत हईं कि सभे आपके नस्ट कइ देई।
You are great Chandan! I only loved you before but now I will respect you.,तु बहुत बडा हवअ चन्दन हऽ पहीले हम तोहके खाली चाहत रहली ; पर अब श्र्धा करेंगे ।
I do not like him on account of his pride and boastfulness.,डींग हाके अऊर घमंड के नाते हम ओके पसंद नाई करीऽल।
What do you think it's used for?,केकरे खातिन इस्तमाल करत हव?
"I'm sorry, man.",हम माफी चाहत हई।
Will he be here for the next ten minutes?,का उ अगले दस मिनट खरतीन यहवा होईहे ?
Ears?,कान!
"You're going with me, you hear!","तु हमरे संहे जात हवा, तू सुनत हवा!"
Go and see your lovely new nephew,जाइके अपने सुन्नर नयके भतीजा के देखु।
"Oh, now we definitely going to Seattle.",पिचास से ना
"Until that moment, he didn't exist.","ओ समय तक, ओकर वजूद ना रहल।"
Whose carriage is this ?,ई केकर गाड़ी हवे?
What's the old home to you?,का पुरनका घर हवँ?
We are all slaves to convention.,हमहन क सम्मेलन खातिर सब जानी क दास हई जा ।
Just a stranger.,हमके ओकर गंध पहचान ना हव
"I must hurry back at once, or my business will greatly suffer.",हमके जल्दी लौटेऽक होई नाई त व्यापार में बड़ा घाटा हो जाइ।
Apparently there was a knife involved.,जाहिर हव एक चाकू भी रहल
"Eight planets come very near to Earth, they are so bright that they appear in daylight too.","अठवां गरह धरती के काफी करीब आइ गयल हव, ई ऐतना चमकीला हव की दिन के परकासो में (अंजोरवो में) साफ-साफ देखाई देत हव।"
What did you see in Delhi ?,तु दिल्ली में का देखला?
I advise you to be more prudent in future.,हमार इहे सलाह हऽ तोहके कि आगे समझदारी से काम करा।
With permission I'm your bodyguard...,हम तोहार अंगरच्छक तोहरे अनुमती से हईं।
I want to get out!,हम बहरे निकलल चाहत हईं!
Can you swim ?,का तु तैर सकलअ ?
Why do you think they said those things?,तु काहे सोचत हउअ कि उ कहने कि उनकर चिज हउअ ?
When does this shop close ?,ई दूकान कब खुले ला?
Saint Kawarram used to distribute received money from 'Bhagati' among poor and needy people.,संत कंवर राम भगती से मिलऽल पइसा गरीब और जरूरतमंद लोगन क बीच में खर्च कई देत रहऽल।
"I'm spinning, my pretty child.","हमार सुंदर बच्चा, हम कताई करत हईं।"
What is right for our students?,हमहन की छात्रन खातिर का सही हऽ ।
What are those marks on your coat?,तोहरे कोट पर कइसन निशान हव?
Ila showed enmity towards Mohan.,इला मोहन की तरफ से दुश्मनी कईली।
What the Christ is this horseshit?,ई सबका बकवास हव?
Anyone can make a mistake.,केहू भी गलत कर सकेला ।
Sign this.,इहवाँ साईन कइदा ।
"How's it going, Doc?",कइसन चलत हव डॉक?
I had decided to kill myself.,हम अपने आप के खुदे खत्म कई लेब।
"You are so young,you cannot fight back Lotiya Pathan, they will cut and throw you in gutter.",तू कल का लवंडा लोटिया पठान से का टकरयेगा काट के फेक दीह्ंअ स नारी में ।
Because you think that Lotiya and his people will not let me come back alive.,काहेकि तु वुझत हवअ कि लोटिया और ओकर आदमी हमके दिन्दा वापस ना आबे दिहंसअ ।
We watched a movie.,हमहन क एगो फिलिम देखली जा ।
Can you open your month?,का तु आपन महिनावा खोल सकलअ ?
"Yea Mom! Best Navy cadet cup, I have done it dad, I have done it.",हं माई अच्छी नेवी कैडेट कप
We have heard a strange story.,हमहन क एगो अजीबे किस्सा सुनली जा ।
I hope that he will come at a very early date.,हमके उम्मीद हऽ कि उ जल्दी आ जाइ।
Will he read a book?,का ऊ किताब के पढ़िए?
You are not even responsible to take care of yourself then how can you deserve Simran?,अरे तु त खुद अपने काविल ना हवे त सिमरन के काविल कइसे रहवे ?
The movement of the storm was quick.,तूफ़ान का गति बहुत तेज रहल।
I didn't recognize his scent.,घुमक्कड़ के माध्यम से गुजर रहल हव
Keep walkin'.,चलत रहा
I think you look lovely.,हमरे ख्याल से तु प्यारा लगत हउवा।
How many students have forgotten this answer?,केतना छात्र एकर उत्तर भूल गईल हऊवन ।
What would you have eaten?,त खाइत का?
I didn't mean that.,हमार मतलब इ नाई रहल।
"I can't, Indu.","छोड़ा हमके-कइसे, इन्दू।"
"Otherwise, we don't eat.","वरना, हमके खाना ना मिली."
I think my father was a brave man to do what he did.,हमरे विचार से हमार बाउजी बहादुर मनई रहलें जवन कइलें।
This place must be where the four of them live.,ताकि इ हऽ की जहा उ रहत रहल।
Oh shit!,ओह सिट!
This alarm system's been screwing up since they built- 10?,ऊ बनले के बाद से ई अलारम सिस्टम पंगा लिहले हव।
But every choice has it's consequences.,प्रत्येक विकल्प परिणाम हव आपन
This answer seems to be fault.,ई जवाब गलत लागत बा।
It happened one night in the winter.,ई सर्दी के एक रात में भईल।
Couldn't it have waited?,हमार इन्तेजार ना कइ सकला?
I was supposed to come yesterday.,हम कल आवे वाला रहलीं।
"Oh, no!","याकुल, डरा मत।"
I shall not go but I am invited.,हम नाई जाइब हालांकि हमके न्योता मिलऽल हऽ।
Have you heard that Rama has won the prize ?,का तु सुनल कि रामा पुरस्कार जीत गइल ?
Who lives here?,इहवाँ के रहला ?
Who fixed the computer?,कम्प्यूटर के ठीक कईलस?
"That was also when Warden Norton instituted his famous ""Inside Out"" program.",येही बरिस हसटल अफसर नारटन आपन मसहूर करकरम अन्दर क बाहरे’ सुरू कइलँ।
Ram remembered and liked the story.,राम के कहानी याद आइऽल और नीक लगऽल।
I won't eat in a restaurant whose cooks smoke.,हम रेस्टोरेंट में नाई खाइब जवन धुआं में पकावेंऽल।
This institution has opened many schools.,ई संस्था कईगो स्कूल खोलले बा।
Cars were not polluting the environment.,सब कार वातावरण के प्रदूषित न कर रहले ह ।
May have accused me but the thought is soothing.,हालांकि हमरे पे दोस लगवला लेकि बिवार बाउर ना हव।
The butler's coat was too big.,बटलर क कोट बहुत बड़ा रहऽल।
Look here.,"देखा, पेले..."
Shyam runs faster.,श्याम तेज दउडेलें।
"The celebration of fair is important because it preserves and develops the identity, culture and etiquettes of a particular society.",मेला के उत्सव बहुत महत्वपूर्ण ह काहे कि ऐसे कोन समाज के पहचान संस्कृत व शिष्टाचार के विकास व सुरक्षा होला ।
When does this shop open ?,ई दूकान कब खुले ला?
"Before we went very far, we found that we had lost our way.",बहुत दूर जाये से पहिले हमनि के पता चलल कि रस्ता भटक गयील रहीं ।
Does she know English ?,का उ अंग्रेजी जानत हउए ?
You should apologize.,तोहके क्षमा माँग के चाहि।
Everybody knows it!,ई हर केहू जानत हव!
How am I looking?,कइसन लगत हई हम ।
"I finished my work, but only because you helped me.",हम आपन काम कई भइलीं लेकिन केवल ओकरे मदद से।
Are you all right?,तू ठीक हवा?
Don't come back! - Let me go!,बाहर निकल जा हव।
I think yours is a better plan.,हमरे ख्याल से तोहार प्लान नीक हऽ।
Those who came before are gone,जो पहिले आयल रहल ऊ चलि गइलँ
This sister is my mother’s sister’s daughter.,ई बहिन हमरी मम्मी के बहिन के लड़की हई।
"They're all sheets, six of them.",ई सभे छगो चादर हईं।
You misunderstood what I said.,तू समझलू ना हम का कहलीं।
Please just forgive me.,हमके भूल जा।
Why your clothes so wet ?,तोहार कपड़ा काहे गिला हव?
Ravi was beaten by Ram and he couldn't laugh.,रवि के राम मार देहलस और उस हंस नाई सकऽल
The mother will be shocked when she's shamed before the village,माई के तब पता लगी जब सगरो गाँव के सम्हने सरनिन्दा होई।
"Why did you do this to him, God?",भगवान तू एकरे संहे अइसन काहें कइला?
Have I ever overlooked any of your talks?,हम आज तक तोर बात कवनो टलले हई ।
There are not enough spoons.,इहां अब अउरी चम्मच नईखे।
We are eating out dinner.,हमहन क राती क खाना बहरे खायेके ।
Does she like chocolate?,का उनके चाकलेट पसंद हवे?
I'm growing a beard.,हम दाढ़ी बढ़ा रहत हईं.
They walk.,उ लोग टहलत हैं ।
Will he be late?,का ऊ देर हो जईन्हें?
Ravi backed out at the last moment.,आखिरी मौका पर रवि मदद कइऽल
What did the girl do ?,लइकी का कइले ।
Row me across to the other side,"हमके दुसरे ओरी ले चला, खेवइया।"
You're home already.,तू वापस भी आ गयल?
How is Antony both a coward and a flatterer?,अन्थोनी कईसन धूर्त आ कायर हऽ ।
Where is the circus ?,सर्कस कहां हऽ।
"I'm near you only, tell me, what's the matter?","इहवाँ पे खाली हम तोहरे लग्गे हईं, बतावा का बात हव?"
Did she work abroad ?,का उ नाव पर काम करत रहली ?
Once or twice we have met alone.,एक या दो बार हमनी के अकेले में मिलल बानी जा।
Ten it is.,दस ठीक हव।
One cannot be too careful about what one says.,केहू एतना सावधान ना हो सकेला कि केहू का कहत ह ।
How did the girls and the boys enter the dining room?,लइका अउर लइकी लोग रसोई घर मे कइसे घुसने ।
My baby is still up there.,हमार बच्चन अबहिनो उहवाँ हवँ।
I can't hear! - You're making-,हम सुन नाहीं सका।
And then he thought how could he end her life.,आ तब उ सोचलस कि ओकर जान कईसे ले सकत हऽ।
A good father-in-law and a good son-in-law.,एगो अच्छा ससुर अउर एगो अच्छा दामाद।
I emptied the dishwasher so my sister could set the table.,हम डिशवॉशर खाली कई देहलीं तब हमार बहिन मेज सजा सकऽल।
You can walk for miles and not see anyone.,तु मीलो चल सकल अउर केहु के नाई देखब।
"I wasn't there to see, but I hear Byron Hadley sobbed like a girl when they took him away.",हम देखे खातिन उहाँ ना रहली लेकिन हम सुनली की बायरन हैडली ले जात के समय लइकी खानी रोवत रहल।
Nothing could be found in the house.,ये घर में कुछु ना पावल जा सकेला।
By which another name Sakhar barrage is also called as ?,सखर बैराज के और कौने नाम से जानल जाऽल।
That girl...,ऊ लइकी
"Be quiet, or I shall punish you.",शांत रहा नाई त हम तोहके सजा देब।
Shall I show you the wonder?,का हम तोहके एक अचरज देखाईं?
Roshan had seen Mohan in the market.,रोशन मोहन के बाजारे में देखले रहऽल।
Have you saved some money after Christmas?,का तु क्रिसमस के बाद कुछ पइसा बचा लेब ?
"One day he sent for Cassim and said to him, 'You are now old enough to earn your living, so you must sat off, and make your own way in the world.'","एक दिन ऊ कासिम के बुलावाले अउरी कहलन कि, 'अब तू बहुते बुढा हो गईल बाड़ा, अब तू ई काम धंधा छोड़ द, अउरी दुनिया के आपन रास्ता खुदे ही बनावे द।"
Who is such that Anu likes Ravi's talking to him ?,अईसन के बा जेकरा अनु के रवि से बात कईल न पसंद हवे?
I have six brothers.,हमरे छह भाई हऽ।
I want reasonable room.,हमके सस्ता कमरा चाही।
All right?,ठीक हव?
That is my promise.,उ हमार प्रतिज्ञा हऽ ।
Yeah.,हाँ।
The date is set.,तारीख पहिले से तय कयल क गयल हव
A man can't even work in peace!,एक आदमी सन्ती से कामो न कइ सकत हव।
I'd asked everybody but only two people came.,हम सबसे पूछलीं केवल दूई जनि अइले।
The boys sat on the mattress.,लईके गद्दा पे बइठने।
Is he a chef?,का उ महाराज हाउए ?
Will Mary come ?,का मैरी अईहन?
"If there are two more mouths, we will not cope.","अगर अउर दूजने आ गइलँ, हमके मोसकिल होई।"
The walls of the house are very small.,घर के दिवार सब छोटहन बा।
Somebody!,17! केहू हव!
"My profit , look he will make me profitable!",हमार फायदा ल सुन ल इ करीहंअ हमार फायदा ।
"It is said that when a daughter becomes youthful , the father gets worried.",लोग कहेलअ कि लएकी जब जवान हो जाले त बाप क कन्धा झुक जाला ।
They did not shout at me.,उ हमरे उपर चिल्लात न हवें ।
I am never late for school.,हम स्कूल खातिर कभौ देर नाई होइऽल।
Do you have the program with you ?,का तु कार्यक्रम के साथ बाडअ ?
"I gotta tell you,",हम आपको बताना होगा।
He will come like an erupting volcano.,ऊ एगो फटत जुआलामुखी जइसन देखाई।
Let me see.,हमके देखत हवा-हे-हे-हे।
"You know, I don't think any part of the body is dirty or bad.",आप जानत हवँ....हमरे सरीर के कवनो हींसा में गन्दा चाहे बुरा ना लगत।
They will come with the marriage procession.,उ सब बरात के साथे अईंह ।
My father writes.,हमार बाउजी लिखले हऽ।
That young fellow-- where can I find him?,ऊ जवान आदमी...कहवाँ मिल सकत हव?
Which animal has tusks and a trunk?,कवन जानवर के सूढ और दांत ह ।
"If I didn't do it, nobody would do it.",अगर हम नाई करऽब त केहू नाई करी।
You have a sweet tooth.,तोहरे पास सुंदर दांत हव।
I'll find out who he is inform Harsha.,हम पता लगाइब कि ऊके रहल अउर हरखा के बताइब
... I'msureshe'llbeabsolutely fascinated when I tell her.,...हमके एकीन हव ऊ बेलकुल मोहि जइहँ जब हम ओनके बताइब।
Someone's been in here.,केहू इहवाँ रहल
#Now you hear the call#,# अब तूँ काल सुना #
"I can read her mind, so I know what she thinks of you.",हम तुहार बिचार के पढ़ सकत हव ओसे त हम का पता के बारे में सोचत हव की उ
You didn't see.,तूँ ना देखले रहला।
I do not know who is there.,हमके नाई पता कि उहां के हऽ।
Did you clean your room ?,का तु आपन कमरा साफ कइले रहल ?
You did not meet her at the station.,तु उनसे स्टेशन पर नाई मिल पइल।
Hey.,का तू समझत हवा हमें केतना परेशान रहली?
I meant it for a joke.,इ हम मजाक करत रहलीं।
Who says it is?,के कहत हव?
Why did you abuse the old man ?,तु बुढ अदमी के काहे गरियावल।
She would not marry any one else except Khetsan a person to whom she was betrothed to.,"उ खेतान के छोड़ के केहू अउरी से शादी ना करिहन, जेसे कि उनके करे के चाही।"
You are outside.,तु बहरे हउअ।
"[Stephen] Hey, Shadow.",[स्टीफन] अरे छाया।
I don't need to meet him.,हमके ओसे मिलेक जरूरत नाई ब।
It might not be a bad idea.,सायद ई बिचार ना हव एक के खातिन एक बाउर दिन क जोड़ी सहर के बहरे जा।
No body knows when he will arrive.,केहु नहीं जानत हऽ कि उ कब अईहें ।
I do not remember ever having met him.,हमके नाई याद आवऽत कि हम ओसे कभौ मिलले हई।
"The old ""home in the middle"", his chance is great greater its chance",पुरनका बिच्चे वाला घर’ में मोका बढि़याँ हव अधिक से अधिक मोका।
Which boy knows where Mary bought which book ?,कवन लईका जानता कि मेरी कहां से कवन किताब खरीदल स ?
There was also an exhibition.,उहाँ एगो प्रदर्शनी भी बा।
I think mostly I wanted to scare them.,"हमके लगत हव की....खासकर, हम ओनके डेरावल चाहत रहनीं।"
I was in that school.,हम उ स्कूले में रहलीं।
I can ask questions,हम तोहसे सवाल पूछीं।
"Respected Samdhi Jee , hope you all will be alright.","आदरणीय समधी जी , विश्वास वा कि आप सभे कुशल होईब जा ।"
The tiger is feared for its fierceness.,बाघ अपने निर्दयता के वजह से ढेर डेरवावेला।
"You're Bhairava, aren't you?","तू भैरवा हवा, हवा न?"
"We don't need that, do we?","ई हमके ना चाही, हव न?"
Girls watch TV.,लइकी कुल टी॰बी ॰ देखत हइ।
Around when her Dad died.,के आस पास जब ओकर पिता मर गयल
Sasuee drank water and rested for a while.,सैसुई पानी पियलस और आराम कइलस।
Is it going to rain?,बारिश होखे जात बा का?
You told him.,तु ओसे कहा।
"Hey, Red.","अरे, रेड।"
Have they dug a hole?,का ऊ लोग एगो गड्ढा खोदल?
Did you play cards?,का तु ताश खेलत बाडअ ?
"You burned him, Stephen.",अपने इसटीफन ओके जराइ दिहलअ।
They are discovering the treasure.,ऊ लोग खजाना के खोज रहल बा लो।
This rug is difficult to wash.,ई गलीचा की धुलाई कईल बड़ी मुश्किल हवे।
Think of it.,"हम जा सकत हई, एरिक।"
It was reported that you had handled the problem very well.,ई सबके पता रहे कि तू येह समस्या के समाधान के लेबअ।
What happened? - It's so awful!,येतना भयानक हव।
"This might sound odd, but I'm glad you're here.","इ अजीब होई शायद जवीटी, लेकिन हम खुश हईं तू इहवाँ हवा"
You bastards!,कमीनों?
What number bus do I take?,कौन नंबर के बस हमके पकड़ेक हऽ।
Dead.,मरल
What kind of future does the poet foresee for them?,उन्हन खाती कईसन भविष्य कवि देखत हऽ?
Shall we go into the living room? -Yes.,का हम अराम कमरा में चलीं?
Are you going now or what ?,का तु अब्बे जात हउअ अथवा का ?
Angela will consequently be the next astronaut.,एन्जेला अगली अन्तरीक्षयात्री होईह।
Guy comin' by in a few minutes to take a look at it.,लइका येपर एक नजर डारे खातिन कुछअ मिनटन में आवत हव।
But it's strong-- strong enough to kill an ox.,अउर कड़ा येतना की तुमको पटक दें।
I must leave today.,हमके आज करेऽक होई।
"You know , I am the first girl whom Rahul has tied the friendship band.",जानल हउ उ पहीली लइकी हई जेकरा के राहुल इ फ्रैन्डसिप बैन्ड बन्धले बाडअ ।
We watched a film last night.,कल हमनि एगो पिक्चर देख्लीं ।
What are the Sindhi newspapers you have ?,सिन्धि अखबार का हउए तोहरे लगे हउए ?
I am leaving now.,अब हम जात बानी।
I believe in two things:,हम दुइ बातन में बिसवास करत हईं।
I believe that he will not come.,हमके यकीन हऽ कि उ नाई आई।
Did they have any useful advice?,का ऊ लोग की लगे कवनो उपयोगी सलाह हवे?
We have eaten fish.,हमहन क मछरी खा लेले हई जा ।
I acted according to his advice.,हम ओकरे सलाह के हिसाब से कइलीं हऽ।
You really got it cozy!,तुहार त सच्चो में ठाठ हव।
Anyways since when I have heard you singing at the roof I have become your fan.,वैसे भी जब से आज हम तोहराके छते पर गावत सुनली हं त आपकी गाना क दिवाना हो गईल हई
I am afraid the young man is going from bad to worse.,हमके डर हऽ कि इ नौजवान बद से बदतर हो जाऽत।
Who likes everyone ?,के सबकरा के पसंद करत ह ?
There's something inside that they can't get to that they can't touch.,"की कुछ हव.....भित्तर, जहवाँ ऊ ना चहुँप सकतँ....जेके ऊ छुइ ना सकतँ।"
Srikakulam?,सिरिकाकुलम्?
I just don't understand what happened in there.,हमके समझ में ना आवत है कि आखिर भयल का?
How much do you earn?,तू केतना कमाइ लें ला?
Radha is coming here.,राधा इहां आवतिऽअ।
Restroom break?,माफ करा मालिक?
Andrea is busy.,अन्द्रिया व्यस्त हऽ ।
Is Tony one of your animals?,का टोनी तुहरे गोरुन में से एगो हव?
"Lalloo! I think he wants to take us somewhere , perhaps he knows where the shoes are kept.",लल्लू ! हमके लागत बा कि इ हमहन के कही ले जायल चाहत बा शायद एके मालुम होखे जूता कहा बा
"I gotta say, he was just as ugly then.","हम त बस ओकरे रूपे में बदसूरत रहलीं, (लोग) कहत हवँ।"
In Ravindra Nath Tagore theatre.,रविंद्र नाथ टैगोर थिएटर में।
I could care less what you need.,"हम इहवाँ कइ रहल हव, इहवाँ कइले"
I wrote the letter in his very presence.,हम ओके रहऽत में इ चिट्ठी लिखलीं हऽ।
You hit too hard.,तू जरा जोर मार रहल हव।
The field is ploughed.,खेत जोतल हऽ।
Did you meet your friend yesterday ?,का तु कलिहां अपने दोस्त मिले गइल रहल ?
All you newcomers must bring your mess kits out into the yard.,सभे नये लोग के आपन बरतन लेइके बहरे आंगन में आवे के चाही.
[Indistinct],(साफ ना)
