en,bho
Next day he asked Noori as to what was it all about.,अगिला दिन उ नूरि से पुछलस कि सब का रहे ?
I saw him only once.,हम ओनके एक बार देखलीं ।
Amelie closes the door.,अमेली दरवाजा बन्द करत हिय ।
And I also know this that you both love each other a lot.,और हम इहो जानत हई कि तु दुनो एक दुसरे से बड़ा प्यार करेलअ ।
Do you know the girl who started in grade 7 last week?,का तू लडकि के जानत हउअ जवन पिछले हफ्ता ग्रेड ७ मे शुरु कइले ?
You never let me know when something like this happens.,तु हमके कब्बो नाई जान पइब जबले कुछ ये तरह आक्समिक घटना न घटे।
I'll teach Sindhi.,हम सिंधी पढ़ाइब।
"If I were you, I would have asked him to pay me back.",हम अगर तू रहतिं त ओकरा के कहतीं हमार पैसा वापस देवे खातिर ।
Has the warning-bell rung ?,का चेतावनी वाला घंटा बजल?
Will you only eat or work on the mill also?,सिरिफ खाये के हव की चक्की भी चलइबू?
Does he need me ?,का उनके हमार जरुरत बा?
Do not come in front of me.,हमरे समनवा ना पड़ा।
You don't want to do this.,तु अइसन कइ लना चाहत हवा।
Does he go to tution?,का ऊ टयूसन जालें?
I brought vegetables.,हम सब्ज़ी खरीद लाइल हईं।
Ram studies in the school.,राम स्कूल में पढ़ऽत।
May comes after April.,अप्रैल के बाद मई आव ल।
This convinced everyone.,ई सबके मना लेई।
On the joyous occasion of the baby ` s birth both his grandfather (maternal/paternal) will dance wearing similar clothes.,वच्चे की जन्म की खुशी प दोनो दाना और नाना एक ही ड्रेस में नाची लोग
"You can love more than one person at a time. I've seen it, with Sam, Emily, and Leah.",तू अचानक ब्यक्ति प्रेम कइ सकत हव अउर अधिक से अधिक एक हव हम एके देखत रहल
"Jesus Christ, Marty.","ईसामसीह, मारटी।"
Please come at night.,राति म आवा।
Ravi cut the unripe banana.,रवि कच्चा केरा काट देहलस
Dead.,मर चुकल हव।
What'd you do?,का तू करत हवा?
"No madam, we do not have steel furniture.",ना मैदम जी हमहन क स्टील क दुकान ना हवे ।
Did you enjoy the movie ?,का तु फिलम के आनन्द लेतड ?
"I live in London, which has some fantastic parks.",हम लंदन में रहीऽल जहां बेहतरीन पार्क हवें।
a pair of thieves,चोरन की जोड़ी
"No, I'm staying.",ना हम
It is shocking !,यह सद्मित करे वाला हअ।
"Yeah, you should.",हाँ तुहँ मिले के चाहीं।
Do you get time for studies ?,का तोहके पढ़े के समय मिलेला?
What a large noise !,का इ तेज हल्ला होत बा !
Have you not been to the party?,का तु पार्टि मे नाइ होबअ ?
Bookish knowledge alone would not help.,खाली किताब क जानकारी मदद नाई करी।
At what time will this train leave from here ?,कवनी समय पर ई ट्रेन इहां से चली?
Most people get what they deserve.,बहुत लोग उहे प्राप्त कईल जौना खातिर उ पात्र रहल ।
I didn't break it.,हम नाई तोड़ऽली हऽ।
How many bungalows does Mary have?,मैरी के लगे केतना बंगला हऽ।
"The stinking, you went to that bitch last night.","बदबू, का काल्हि रात तू ओ कुतिया के लगे गयल रहला।"
I do not remember.,हमके नाई याद हऽ।
Give the order.,आदेश देहल जाव।
Will he be ready?,का ऊ तैयार होईन्हें?
I write to him now and then.,हम ओके तब और अब लिखली।
John was laughing before Mary drew a circle.,मैरी के गोला बनावे से जॉन हंसत रहल।
Can you look forward?,का तु आगे तक देख सकलअ ?
"Skeets, come on. Give me that, you shithead.","अरे, इसकी, अइहा तनी, ऊ हमके दीहा, गोबर गनेस।"
I tell you it's nothing.,"कहली न, कुछू न हव।"
Now he must go back to his palace and leave her to face the fate.,अब उनके अपनी जगह से वापस जाए के चाही और उनके सच के सामना करे के खातिर छोड़ देवे के चाही। ।
I don't have much money with me.,हमरे लगे बहुत पइसा नाई हऽ।
Which type of person is this?,ई कवनी किशिम के आदमी बाडन?
They that are whole have no need of a physician.,जे अपने आप में सम्पूर्ण हटे वोके डाक्टर क जरूरत न बाटे ।
Mr. Verma was the leader of Socialist Party for years.,सालन से मिस्टर वर्मा सोशलिस्ट पार्टी क नेता रहलं।
This film is exciting.,ई फिल्म उत्तेजित करे वाला रहे।
I have diabetes.,हमके डायबिटिज़ हऽ।
Each lesson is being taught everyday.,हर पाठ रोज पढ़ावल जाऽल।
Lost your bottom jaw?,निचे क जबड़ा गयल?
It is difficult to understand the reason.,वजह समझब मुश्किल हो गइल हऽ।
Tatsu strain a lucky,ततसू एगो भगसाली।
What time is it now ?,अबहीं का समय होत बा?
Your father became a butterfly?,तुहार पिता एक तितली बन गइलँ?
But this- this party's for girls.,लेकिन ई परटी लइकिअन खातिर हव।
Who arrived late ?,के देर से पहुँचुवे ?
But he killed these guys.,लेकिन ऊ एनलोगन के मार डरलअ।
My captors were taking me to prison.,हमके पकड़े वाले हमके जेल ले जात रहऽल।
How many of you can solve this?,तोहन लोगन मे से केतना जने एहके हल कइ सकेने।
Who's your brother?,आप का भाई केह हव?
"Most of the time, these episodes with kids are never explained.","जिआदेतर, लइकन क ई परकरन समझ में ना आवत हव।"
"She is not an Indian , she has been brought up in London and these London girls are peculiar.",हिन्दुस्तानी ना नह लन्दन में पलल बढल हीय और ये लन्दनवाली कुछ अजीव तरह क होली स ।
Does this car belong to you ?,का ई कार आपके हवे?
"You got a problem with drilling, Probie?",अपने डिरलिंग पैरोबी के संहे एगो समीसा हव?
When will you go to office tomorrow ?,तु बिहान कर्यालय कब जइब ?
We can go for a walk if you like.,हमनि टहले जा सकीं ला अगर तोहर मन बा ।
Bye dad.,नमस्ते - बाय पिता जी।
The boy readily admitted his mistake.,लइका आसानी से आपन गलती मान लहले।
Does she speak at all?,का ऊ सब कुछ बता देहली?
It's just a bullshit word.,इ सिर्फ एक बकवास हऽ।
Have the Torrances' things brought to their apartment.,का टारंस पलिवार क समान ओनके कमरे पे आइगयल हव।
She has been calling this number many times.,ऊ येह नम्मर पे कई बेर काल कइले हव।
You just gotta twist and turn... same as the eel in that frying pan.,तूहँ फराइंग पैन में मछली की तरह छटपटाना होई।
What is the name of this village ?,ई गांव का नाम हवे?
They were not using their calculators.,उ सब आपन कैलकुलेटर प्रयोग ना करत रहें ।
I can ill afford to lose him.,हम ओके बीमार से हार सकीऽल।
He loves me a lot.,हमके बडा प्यार करेला ।
Cocks crow in the morning.,कउआ भिन्हिए बोलाल।
Are there any stamps in the drawer.,का दराज मे कौनो स्टेम्प हउए !
Maybe he thought of them on the streets or his child growing up not knowing her daddy.,सायद ओनके सड़की पे अइले क खिआल चोहे बापे के गइले बगर ओकरे बच्चा क बढ़ल।
Radha has written a letter to Gita.,राधा गीता के चिट्ठी लिखलस।
Its extreme cold today.,आज बहुते ठंडा हऽ ।
I was unwilling.,हम इच्छा नाई रहल।
One cannot be too careful of one's good name.,केहू एतना सावधान ना हो सकेला केहू के अच्छा नाम पर ।
"What are you, scared of the dark?","लइको, तू अन्हारे से डेरात हवा?"
And I don't smell any worse than some people I know.,अउर हम कुछ लोगन से अधिक गंध ना देत हव।
I'll be very surprised if that egg isn't broken.,चला देखत हईं
But I couldn't even touch her.,लेकिन हम ओके छू तक ना पवलीं।
I have to figure out what to tell people... Whu I won't be home for Christmases.,हम बोजिज हव निकालय खातिन का बहरे मत बतइहाँ हम काहें लोगों को
How did you find the fair ?,तु मेला के कइसे पता लगइब ?
"It never snows in Auckland, does it?",आकलैण्ड में कबो बर्फ ना गिर हऽ न?
The dog had barked.,कुत्ता भौंकले रहे ।
Let Durga come with me; I'll give her something to tide you over,"छुरगा के हमरे संहे भेजा, हम ओके दे देइव कुछ समे पार करअ खातिन ।"
What took you to the aiport ?,तु हवाई अड्डा पे का ले गइल ?
I murdered the child.,हम बच्चे को मार डलली।
Will you be able to reach at my place by yourself ?,का तु खुद हमरे जगहि पर पहुचले लायक होब ?
This poor-fellow was crying under the pressure of loans and they were enjoying.,ई बेचारा गरीब आदमी ऋण के भार से रोवत रहन अउरी ऊ सब मजा लेत रहे।
Kalidas is often called the Shakespeare of India.,कालिदास के प्राय: भारत के शिक्सपीयर कहल जाला ।
"Matt has benefited from his exercise program, now, he is slim and energetic.","मैट के कसरत से फायदा भइल हऽ, अब उ पातर और जोशीला हऽ।"
My God!,हे भगवान!
"No! You're not thinking clearly, don't do that!",ना हम काफी ना लगत हव
Everyone leads a difficult life.,सब लोगन क जीवन मुस्किल भरल हव।
Until graduation.,तक परिवर्धन - परिवर्धना?
That's it.,ई मरलीं।
"So, I couldn't find a partner in this birth.",येह लिये हमके एह जनम में कवनो साथी ना मिलल।
They are using him to free load.,ऊ ओकर मुफुत में इस्तेमाल करत हवँ।
Mango grows in India.,आम भारत में उगे ल ।
They will stitch the clothes.,उ सब कपड़ा स्टिच करेला ।
I don't know him properly.,हम ओके ठीक से नाई जानीऽल।
It also tells the sacrifice of Sorath.,एके सोरठ के बलिदान भी कहल जाला।
People mainly do agriculture here.,इहां के लोग मुख्य रूप से किसानी करेला।
Who knows Music ?,के संगीत जानत ह ?
Who took you to the airport?,के तोहरा के हवाईअड्डा से ले आऊवे ?
"Our hoard is little, but our hearts are great.",लेकिन हमार दिल महान हवे।
I praise him only when he deserves it.,हम ओकर तारीफ तब करऽब जब उ ओकर हकदार होई।
That way Dodo and Chanesar were stepbrothers.,येही से डोडो अउरी चनेसर सौतेला भाई हवे लोग।
They fought bravely.,उ सब बहादुरी से लड़्ल ।
So put the knife down.,त चक्कू नीचे रख।
The longest river here is Sindhu.,इहां के सबसे लंबा नदी सिंधु हवे।
The boy whose book I took is angry.,जवने लइका के किताब हउए ऊ गुस्सा मे हउए।
The next day was warmer still.,अगिला दिन फिर भी गरम रहे ।
I don’t want to go to her house!,हम ओकरे घरे नाई जाए चाहीऽल।
Can he kill you?,का ऊ तोहके जान से मार सकेलन?
Are you leaving the college?,स्कूल छोड़के ?
You don ` t leave me like this.,तु हमके ए तरे छोड़ के मत जाईल करअ ।
It was a horrible night.,ई भयानक रात रहे।
Take this parcel over to the post-office.,ई पार्सल के डाक-घर ले जा।
The news that the enemy landed spread like wild fire.,शत्रु के उतरला के खबर आग के तरह फयिल गईल।
It is time to go home,ई समय घर जायेके हवे।
We've lived here since 1994.,हमहन क १९९४ की बाद से यहवां रहल जाला।
It has not worked.,ई काम ना कईलन।
A supervisor has students that he must interview.,एगो सुपरवाईजर के पास छात्र रहे लन जिनकर साक्षात्कार ओकरा करे के रहि ला ।
It is a beautiful school.,ई सुंदर स्कूल बा।
"To save few bugs, you hired an auto instead of a taxi.",कुछ पइसा बचावे खातिर तू टेकसी के बजाय आटो कइ लिहला।
A girl whom Ravi thinks everyone will choose.,एक लड़की जेकरी बारे में रवी सोचेलन सब उनका के पसंद करेला। ।
You're going overboard.,प्रेट जेरूजस
I spoke plainly that you might understand.,हम साफ कहलीं हऽ तोहरे समझ में आ गइल होई।
How many buses are going to Maharani Baag?,केतना बस महरानी बाग के जा रहल ह ।
What does your mother bake?,तोहार माई का पकावत हेव?
Brother also had to come today but there is no news of him yet.,भइया आजौ आवे के कहले रह ल मगर अब ले कौनो ख़बर नाइ बा।
This place is wonderful.,ई जगही अद्भुत हव।
The dog chased the sheep.,कुत्ता भोड़ के पीछा करुवे ।
The Volturi don't give second chances.,ओके दे दा एक करय क मउका ना दिहला दूसरा एक
Will you go to market?,का तु बाजारे जइब ?
"Third day after this, a comet will fall, according to the horoscope of the princess, this will bring calamity to us and this kingdom, King.","येकरे तिसरक दिन एगो धूमकेतु गिरी, रजकुमारी के भभिस के अनुसार ई हमार अउर हमरे राज में तरासदी ले आई, महाराज।"
"As you think, your fiance is not a good man.","जइसन तू सोचति हऊ, तोहार होखअ वाला पती एगो अच्छा अदमी ना हव।"
"Those assholes were closing' firehouses, gettin' our friends killed for money.","ऊ बेकूफन पइसा खातिन मारि डरलँ हमरे दोसतन के मिलत हव, आग घरन के बन्न भित्तर गयल।"
Who is the best boy in the class?,वर्ग क सबसे बढि़या लड़का के हऽ ?
I have a query regarding your previous reply.,हमरे लगे तोहार पहिलका जवाब खातिर कुछ सवाल हऽ।
I would have purchased a ticket.,हमके टिकट कीनेक होई।
Where have you taught?,तु कहवा पढा चुकल हउअ ?
I am in great pain.,हमके बड़ा दर्द होऽत।
The captain was annoyed at his not having carried out his orders.,कप्तान उसका आदेश न मानने के कारण उसपर गुस्सा हो गया ।
You have had to spend hard times.,काफी कठिन समे तोहके बितावअ के परल हव ।
"If it rains, the match will be cancelled.",बारिश होयी अगर त खेल रद्द हो जायी ।
I insisted on going.,हमार जोर जाए पर हऽ।
The mark is getting bigger.,निशान क बढ़ाई...
Not the ones that support risk killing you. You won't.,जोखिम बात पर जीवन तू का स्टेवलज्म ना अ
Your wife has phoned.,तोहार मेहरारु फोन कइलेस।
"Who lives there, I knew the fact that he will not come.","उहाँ के रहेला, हमके कारन मालूम बा कि उ ना अयिहन।"
"Engine 115, right?",इंजन 115 सही?
I'm not sure.,हमके पक्का पता ना।
Not an evil word did he ever say to me. Not once.,उ बुरी बात कबौं ना कइलँ।
Kanta has written a novel.,कान्ता एगो उपन्यास लिखले दिय ।
"If I had known, I would get you gone.","अगर हमके पता होत, हम तुँहके लेइके आइत।"
Wounds made by words are hard to heal.,शब्दन क घाव भरब बड़ा मुश्किल होऽल।
The climate of Rangoon does not agree to him.,रंगून क मौसम ओकरे साथे नाई हऽ
"Pass on in peace and bear us no hatred. Disgusting little creatures, soon all of you will feel my hate... and suffer as I have suffered.","सांति बांटी अउर नफरत से दूर रहीं। घृणित छोट प्राणियन, जल्दिये आप सभ हमार नफरत महसूस करब... अउर हमके भुगतेके पड़त हऽ।"
Will you get this letter posted?,का तु हइ भेजल चिट्ठी पइब ?
"Yeah, he's got the teeth of a rat.","हाँ, ओकर दांत चूहा जइसन हव"
Sheela forced Radha to sing.,शीला राधा से जबरजस्ती गाना गववली।
"Hey dear! You are too much, you are having papayas sitting there instead of helping us, say something.",अरे यार! कमाल करत हवे तु यहां हमार मदद कईला की बजाय बईठल -2 पपीता खात हवे अरे कुछ त वोल
Hello.,नमस्कार
"Aceh is rich of events, attraction and unique culture that it will fascinate anyone.","ऐक में बहुते तरह के कार्यक्रम होला, जवन की बहुते अनूठा होला और जेह की वजह से केहू भी उहवा जाए खातिर आकर्षित हो सकेला।"
Was he to see her again?,का उ उनके फिरसे देखले ?
Latin was once spoken in almost every part of Europe.,एक समय लैटिन यूरोप के सब हिस्सा में बोलल जात रहे।
"Because I have still not found that girl, the mere sight of whose makes me feel something.",का है कि हमके अवली ले अइसन लइकी ना मिलल जेके देख के कुछ होखे लागे ।
And a case of Scotch to the captain at station assignments.,अउर स्टेसन के कार्य में कप्तान को स्काच का मामला।
Ravi sat on his bike.,रवि ओकरे साथे गाड़ी पर बइठ गइल।
... andkilledhisfamily with an ax.,अउर अपने पलिवार के एगो कोल्हाड़ी से मारि डरलअ।
How many players have won the match?,केतना खिलाड़ी मैच जीत गईल हऊवन ।
Mary threw the ball and Billy caught it.,मैरी गेंना फेकलस और बिली लपक लेहलस।
How can I do that?,इ हम कइसे करऽब।
You are not visiting the castle.,तु किला नाई देखत रहत हउअ।
Aren't they the same?,का दूनो एकअ ना होत?
She predicted you would get a job. You did.,ऊ भभिसबानी कइले रहलीं कि काम मिलि जाई अउर मिलि गयल।
Did you see the terminator?,का तु टर्मिनेटर देखले बाडअ ?
You never come here but you steal something.,तु इहाँ कब्बो ना अइला लेकिन तु कुछ चोरवला।
Why do you think they said those things?,तु काहे सोचत हउअ कि उ कहने कि उनकर चिज हउअ ?
The novel 'Gora' has been written by Tagore.,गोरा उपन्यास टैगोर के लिखल हवे।
May I borrow your umbrella ?,तोहार छाता ले सकेलीं का?
How many wells are not working?,केतना कुँआ काम ना कर रहल ह ।
You are the 40.,40 पे आप।
Who is this year's chairwoman of the examination committee.,परीक्षा कमिटी के ई बार के महिलाप्रमुख के बा?
I hoped that it was true.,हमके लगऽत इ सच हऽ।
You'll understand when you see the rock hammer.,तू समझ जइबा जब तू चट्टानी हथोड़ा देखवा।
I didn't. None of us did.,आप पसंद क विकल्प हव अउर पसंद लाने क गलत
Had Boris been learning English?,का बोरिस अंग्रेजी सिखत रही?
I ordered whatever he ordered.,हम उहे मंगइली हऽ जवन उ मंगइलस।
It started to rain while we were playing tennis.,हम टेनिस खेलत रहलीं तबले बरखा होए लगल।
After sometime Bhungar died.,कुछ समय बाद भंगर मर गईल ।
She is too good.,ई बहुत नीक हव।
The dog is as good as dead.,कुत्ता एतना अच्छा बा जेतना कि मरला पर ।
How is the weather today ?,आज के मौसम कैसा ह् ?
We have a winner!,हम एक जीतवइया हईं।
What is the fault of my daughter?,हमरे बिटिया क गल्ती का हऽ।
I think it is a good idea.,हम सोचत हई कि इ बढ़िया विचार हऽ।
We have heard a strange story.,हमहन क एगो अजीबे किस्सा सुनली जा ।
Will you be paid regularly?,का नेमत रूप से तनखाह मिलत रही?
That's where I come in.,ठीक ईहअ हमरे काम आवत हव।
I am determined to yield this point.,हम एही बात पर छोड़े चाहत हई।
You know it's time to do your hair,तुहके पता हव की बाल झारे क समय हव
I was invited by the professor whom I met at the conference.,"हमके प्रोफेसर बोलइले रहले, जवने से हम कॉन्फ्रेंस में मिलल रहले।"
We went Indore.,हमनि इन्दौर गयलीं ।
This news spread like fire.,ई खबर आग के तरह फ़ैल गईल।
"Although Frank enjoyed cooking, he always forgot to buy groceries ahead of time, so he usually went out to eat for dinner.","हालाँकि फ्रैंक के खाना बनावल बहुते पसंद हवे, लेकिन ऊ समय से किराना के सामान लियावल भूल जाने और येही वजह से अक्सर उनके बाहर खाना खाए के जाए के पडला।"
What’s your mother name?,तोहरे माई क नाम का हव?
I've got to speak with you.,हमके तुहसे बाति करेके हव।
The elephant has been caught.,हाथी के पकड़ लेहल गईल बा।
Those who clean their inner self with tears of repentance at last win.,जे आपन भीतर आसुंओं से साफ करेला उहे अन्तिम मे विजयी होला ।
Sweet Jesus.,हे भगवान!
How can you say that Subbu had a genuine love for anyone he came across?,तु कइसे कहि सकल कि सुब्बु केहुके सच्चा प्यार खरतिन सब जगह अइले ?
It is bad to eat chocolate often.,चाकलेट ज्यादा खाना खराब ह् ।
A tree protected me against the heat and the sun.,पेड़ हमके सूरज और गर्मी से बचा लेहलस।
You are buying a house and we are selling.,तु घर खरिदत रहल हउअ अउर हम बेचत रहल हई।
Do you celebrate your birthday ?,का तु आपन जन्म दिन मनावतड ?
We're in danger already.,हम पहिलवॅ से खतरा में हईं।
It is all due to his ambition for fame.,ई सब उनकी उद्देश्य के परसिद्धि में रहे वाला कमी हवे।
"Rama, you are a lazy boy.",रामा तू सुस्त लइका हवा।
"One, two--","एक, दू"
Serpents cast their skin once a year.,सांप साल में एक दाईं आपन केंचुल छोड़ऽल।
"I understand the joke, but Mary didn't.",हम मजाक समझीऽल लेकिन मैरी नॉट।
That clock is ten minutes fast.,घड़ी १० मिनट तेज हऽ ।
Who will know?,कवन जानी?
Did you see the woman ?,का तु ऒरतिया के देखल हऽ ?
Rakesh will be studying physics.,राकेश भौतिक विज्ञान पढ़ी।
Ramesh was busy in studies that's why did not go to watch movie.,रमेश पढ़े में व्यस्त रहऽल एहि से फिल्म देखे नाई गइऽल
We ought to be leaving now.,हमहन के अब जाये के चाही।
Will you enter this forest at your own risk?,का तु जंगल मे अपने खुद के जोखिम पर गइल होब ?
"Don't give unriped ones, give riped ones.","कच्चा मत द्,पक्का द ।"
Don't tell me about the chance I'm taking.,"हमके मोका के बिसे में ना बतवलँ, हम ले जात हईं।"
I have to purchase something.,हमके कुछ खरीदेऽक हऽ।
You're shitting me.,तू हमके उल्लू बनावत हवा?
They don't pay for the repairs!,ऊ मरम्मत खातिन भोगतान ना करलँ ।
I used to work with the woman.,हमार मेहररूअन के साथे काम करे क आदत हऽ।
What if you rape and kill her?,अगर तू ओकर बलत्कार कइके मारि डरता?
Does Neha write a letter ?,का नेहा चिट्ठी लिखली?
How many goats are grazing there ?,केतना बकरी ओईजा चर रहल हई ।
What is 'Bahirana' ?,बहिराना का हऽ?
I took this book.,हम किताब ले लेहली।
We refused them admission.,हमहन क उनसे प्रवेश खातिर मना कर दिहली जा।
It is fine.,ठीक बा।
Night came on and the room grew dark.,रात आइऽल कमरवा में अन्हार हो गइऽल।
You are serving us pakodaa.,तू हमहन के पकौड़ा देहल हऽ।।
"Oh, my God!",हे भगवान!
I live in the city in which I study.,जवने शहर में रहीऽल वहीं पढ़ीऽल।
Don't hurt me.,हमके मति मारा।
"After she graduates this year, Julie will work in her father’s law firm.","ई साल स्नातक पास कईला के बाद, जूली अपने पापा के विधि कंपनी में काम करिहन।"
I asked him if he was feeling well.,हम ओसे पूछली ओके नीक लगऽत रहल।
"Two years ago, Marty Swayzak didn't even know my name.","दुइ साल पहिले, मारटी सवेजेक ओके हमरे नाँव क पता ना रहल।"
"If anybody's lights are about to go out, believe me, they're yours.",केहू क रोसनी बहरे जाये के बारे में हवत हमें विस्वास हव तु तुहार हव।
From tonight She eats here.,आज रात से ऊइहाँ....खइहँ
It's going to be such fun.,अब मजा करे के चाही।
Give sugar in this small bag.,ए छोटा से थैला में तनिक चीनी द।
"Lily played football, so Tomi went shopping.","लिली फुटबाल खेललस, ऐसे टोमी शापिंग करे गइऽल।"
Because you're too important. Still not good enough.,काफी अच्छा हव काहें की हम ना भी महत्वपूर्ण हव इ
Will he be marrying Monika next Sunday?,का उ मोनिका से अगले अतवार के शादी करीहे ।
He wants me to baptise them,ऊ आपन जनेऊ करल चाहत हव
Ragini watches TV.,रागिनी टीवी देखतिऽअ।
Here she comes.,ऊ आवति हव।
King could see through their artificial makeup and their behaviour and went away.,राजा देख सकेऽल कि कृत्रिम मेकअप और व्यवहार उहां से चल गइल।
Ratan wrote a letter to friend.,रतन दोस्ते के खत लिखलस
That can't be right.,इ सही ना हो सकत हव
No such thing as easy time in the hole.,कवनो असान समे ना होला अवकासे में।
The king was so pleased with his music.,राजा संगीत से बड़ा खुश रहऽल।
Let's get up off the floor.,चला खड़ा होइ जा।
You tell me.,"तू हमके बतावा, घंट।"
In future I shall charge you for medical advice.,डॉक्टरी सलाह देवे खातिर अब भविष्य में तोहसे पइसा लेऽब।
Can you arrive at this place early?,का तु ये जगही पर जळी पहुच सकलअ ?
Ila lifted a necklace.,लीला एगो हार उठवली।
I sank into the water.,हम पानी में डूबो देहलीं।
Wake up.,जागा।
Men have fought for their country.,आदमी अपने देश खातिर लड़ल।
You're spoiling Durga,"ठाकुरजी, तू दुरूगा केखरा बकरत हऊं।"
Ram couldn't worry.,राम चिंतित नाई हऽ।
I know what I'm doing. - Uh-oh.,हम हम का करत हईं।
Vijay saw the moon from his window.,विजय अपने खिड़की से चांद देखलस।
Leela has bartered one night of yours for a mere necklace.,लीला केवल तोहरे खातिर एक रात क सौदा कइलस ।
I saw him to do it.,हम ओके इ करत देखली।
Actually you are very beautiful because you are very different from the others.,तु बहुत खुबसुरत हउ काहे कि तु सवसे जादा अलग हऊ
"Me,your father and Anjali are there in this story.",ये कयानी में हम बानी और तोहार पापा और अंजली
Will you speak English?,का तु अंगरेजी बोलब ?
Will you take away my Harsha from me?,का तू हमरे हरखा के हमसे दूर ले जइबू?
We thought that perhaps Pelle would like to become his replacement.,सयद पेले परसिद्दु बनल चाहे इहँवा स्टोन फारम पर।
Understand?,समझें?
Roger gave a grin of sheer delight.,रोजर बड़ा खुश होके मुस्किया देहलस।
My own benefit lies in this.,हमार खुदके एमे फायदा हऽ।
They will guard his house.,उ सब आपन घर क सुरक्षा करत हवें ।
How many watermelons are in your garden?,तोहरे बगइचा में कय ठे तरबूजा हव?
Is it a private or government hospital ?,ई प्राइवेट या सरकारी अस्पताल हवे?
Am I attacking on you?,का हम तोहरी पे हमला करत बानी?
Maher respects his teacher and Omar respects Maher’s teacher but Zayd doesn’t respect Maher’s teacher.,"माहेर अपने टीचर क सम्मान करेंऽल, उमर माहेर क टीचर क सम्मान करऽलं लेकिन जायद माहेर क टीचर क सम्मान नाई करऽल।"
I like to think it was something so beautiful it can't be expressed in words and makes your heart ache because of it.,"सोयल नीक लगत हव की ऊ एतना सुन्नर गावत रहलीं, जेके सबदन में बतावल ना जा सकत हव...अउर येही बजेह से दिले में दरद होत हव।"
